construction_type,occupancy_type,story_min,story_max,sqft_min,sqft_max,foundation_type,flood_peril_type,damage_function_id
C,COM9,5,40,,,BASEMENT,CHW,217
C,COM9,5,40,,,BASEMENT,CMV,217
C,COM9,5,40,,,BASEMENT,CST,217
C,COM9,5,40,,,BASEMENT,RHL,217
C,COM9,5,40,,,BASEMENT,RHS,217
C,COM9,5,40,,,BASEMENT,RLL,217
C,COM9,5,40,,,BASEMENT,RLS,217
C,COM9,5,40,,,PILE,CHW,219
C,COM9,5,40,,,PILE,CMV,219
C,COM9,5,40,,,PILE,CST,218
C,COM9,5,40,,,PILE,RHL,218
C,COM9,5,40,,,PILE,RHS,218
C,COM9,5,40,,,PILE,RLL,218
C,COM9,5,40,,,PILE,RLS,218
C,COM9,5,40,,,SHALLOW,CHW,219
C,COM9,5,40,,,SHALLOW,CMV,219
C,COM9,5,40,,,SHALLOW,CST,218
C,COM9,5,40,,,SHALLOW,RHL,218
C,COM9,5,40,,,SHALLOW,RHS,218
C,COM9,5,40,,,SHALLOW,RLL,218
C,COM9,5,40,,,SHALLOW,RLS,218
C,COM9,5,40,,,SLAB,CHW,219
C,COM9,5,40,,,SLAB,CMV,219
C,COM9,5,40,,,SLAB,CST,218
C,COM9,5,40,,,SLAB,RHL,218
C,COM9,5,40,,,SLAB,RHS,218
C,COM9,5,40,,,SLAB,RLL,218
C,COM9,5,40,,,SLAB,RLS,218
C,EDU1,1,4,,,BASEMENT,CHW,214
C,EDU1,1,4,,,BASEMENT,CMV,214
C,EDU1,1,4,,,BASEMENT,CST,213
C,EDU1,1,4,,,BASEMENT,RHL,213
C,EDU1,1,4,,,BASEMENT,RHS,213
C,EDU1,1,4,,,BASEMENT,RLL,213
C,EDU1,1,4,,,BASEMENT,RLS,213
C,EDU1,1,4,,,PILE,CHW,214
C,EDU1,1,4,,,PILE,CMV,213
C,EDU1,1,4,,,PILE,CST,213
C,EDU1,1,4,,,PILE,RHL,213
C,EDU1,1,4,,,PILE,RHS,213
C,EDU1,1,4,,,PILE,RLL,213
C,EDU1,1,4,,,PILE,RLS,213
C,EDU1,1,4,,,SHALLOW,CHW,214
C,EDU1,1,4,,,SHALLOW,CMV,214
C,EDU1,1,4,,,SHALLOW,CST,213
C,EDU1,1,4,,,SHALLOW,RHL,213
C,EDU1,1,4,,,SHALLOW,RHS,213
C,EDU1,1,4,,,SHALLOW,RLL,213
C,EDU1,1,4,,,SHALLOW,RLS,213
C,EDU1,1,4,,,SLAB,CHW,214
C,EDU1,1,4,,,SLAB,CMV,214
C,EDU1,1,4,,,SLAB,CST,213
C,EDU1,1,4,,,SLAB,RHL,213
C,EDU1,1,4,,,SLAB,RHS,213
C,EDU1,1,4,,,SLAB,RLL,213
C,EDU1,1,4,,,SLAB,RLS,213
C,EDU1,5,40,,,BASEMENT,CHW,217
C,EDU1,5,40,,,BASEMENT,CMV,217
C,EDU1,5,40,,,BASEMENT,CST,217
C,EDU1,5,40,,,BASEMENT,RHL,217
C,EDU1,5,40,,,BASEMENT,RHS,217
C,EDU1,5,40,,,BASEMENT,RLL,217
C,EDU1,5,40,,,BASEMENT,RLS,217
C,EDU1,5,40,,,PILE,CHW,219
C,EDU1,5,40,,,PILE,CMV,219
C,EDU1,5,40,,,PILE,CST,218
C,EDU1,5,40,,,PILE,RHL,218
C,EDU1,5,40,,,PILE,RHS,218
C,EDU1,5,40,,,PILE,RLL,218
C,EDU1,5,40,,,PILE,RLS,218
C,EDU1,5,40,,,SHALLOW,CHW,219
C,EDU1,5,40,,,SHALLOW,CMV,219
C,EDU1,5,40,,,SHALLOW,CST,218
C,EDU1,5,40,,,SHALLOW,RHL,218
C,EDU1,5,40,,,SHALLOW,RHS,218
C,EDU1,5,40,,,SHALLOW,RLL,218
C,EDU1,5,40,,,SHALLOW,RLS,218
C,EDU1,5,40,,,SLAB,CHW,219
C,EDU1,5,40,,,SLAB,CMV,219
C,EDU1,5,40,,,SLAB,CST,218
C,EDU1,5,40,,,SLAB,RHL,218
C,EDU1,5,40,,,SLAB,RHS,218
C,EDU1,5,40,,,SLAB,RLL,218
C,EDU1,5,40,,,SLAB,RLS,218
C,EDU2,1,4,,,BASEMENT,CHW,214
C,EDU2,1,4,,,BASEMENT,CMV,214
C,EDU2,1,4,,,BASEMENT,CST,213
C,EDU2,1,4,,,BASEMENT,RHL,213
C,EDU2,1,4,,,BASEMENT,RHS,213
C,EDU2,1,4,,,BASEMENT,RLL,213
C,EDU2,1,4,,,BASEMENT,RLS,213
C,EDU2,1,4,,,PILE,CHW,214
C,EDU2,1,4,,,PILE,CMV,213
C,EDU2,1,4,,,PILE,CST,213
C,EDU2,1,4,,,PILE,RHL,213
C,EDU2,1,4,,,PILE,RHS,213
C,EDU2,1,4,,,PILE,RLL,213
C,EDU2,1,4,,,PILE,RLS,213
C,EDU2,1,4,,,SHALLOW,CHW,214
C,EDU2,1,4,,,SHALLOW,CMV,214
C,EDU2,1,4,,,SHALLOW,CST,213
C,EDU2,1,4,,,SHALLOW,RHL,213
C,EDU2,1,4,,,SHALLOW,RHS,213
C,EDU2,1,4,,,SHALLOW,RLL,213
C,EDU2,1,4,,,SHALLOW,RLS,213
C,EDU2,1,4,,,SLAB,CHW,214
C,EDU2,1,4,,,SLAB,CMV,214
C,EDU2,1,4,,,SLAB,CST,213
C,EDU2,1,4,,,SLAB,RHL,213
C,EDU2,1,4,,,SLAB,RHS,213
C,EDU2,1,4,,,SLAB,RLL,213
C,EDU2,1,4,,,SLAB,RLS,213
C,EDU2,5,40,,,BASEMENT,CHW,217
C,EDU2,5,40,,,BASEMENT,CMV,217
C,EDU2,5,40,,,BASEMENT,CST,217
C,EDU2,5,40,,,BASEMENT,RHL,217
C,EDU2,5,40,,,BASEMENT,RHS,217
C,EDU2,5,40,,,BASEMENT,RLL,217
C,EDU2,5,40,,,BASEMENT,RLS,217
C,EDU2,5,40,,,PILE,CHW,219
C,EDU2,5,40,,,PILE,CMV,219
C,EDU2,5,40,,,PILE,CST,218
C,EDU2,5,40,,,PILE,RHL,218
C,EDU2,5,40,,,PILE,RHS,218
C,EDU2,5,40,,,PILE,RLL,218
C,EDU2,5,40,,,PILE,RLS,218
C,EDU2,5,40,,,SHALLOW,CHW,219
C,EDU2,5,40,,,SHALLOW,CMV,219
C,EDU2,5,40,,,SHALLOW,CST,218
C,EDU2,5,40,,,SHALLOW,RHL,218
C,EDU2,5,40,,,SHALLOW,RHS,218
C,EDU2,5,40,,,SHALLOW,RLL,218
C,EDU2,5,40,,,SHALLOW,RLS,218
C,EDU2,5,40,,,SLAB,CHW,219
C,EDU2,5,40,,,SLAB,CMV,219
C,EDU2,5,40,,,SLAB,CST,218
C,EDU2,5,40,,,SLAB,RHL,218
C,EDU2,5,40,,,SLAB,RHS,218
C,EDU2,5,40,,,SLAB,RLL,218
C,EDU2,5,40,,,SLAB,RLS,218
C,GOV1,1,4,,,BASEMENT,CHW,214
C,GOV1,1,4,,,BASEMENT,CMV,214
C,GOV1,1,4,,,BASEMENT,CST,213
C,GOV1,1,4,,,BASEMENT,RHL,213
C,GOV1,1,4,,,BASEMENT,RHS,213
C,GOV1,1,4,,,BASEMENT,RLL,213
C,GOV1,1,4,,,BASEMENT,RLS,213
C,GOV1,1,4,,,PILE,CHW,214
C,GOV1,1,4,,,PILE,CMV,213
C,GOV1,1,4,,,PILE,CST,213
C,GOV1,1,4,,,PILE,RHL,213
C,GOV1,1,4,,,PILE,RHS,213
C,GOV1,1,4,,,PILE,RLL,213
C,GOV1,1,4,,,PILE,RLS,213
C,GOV1,1,4,,,SHALLOW,CHW,214
C,GOV1,1,4,,,SHALLOW,CMV,214
C,GOV1,1,4,,,SHALLOW,CST,213
C,GOV1,1,4,,,SHALLOW,RHL,213
C,GOV1,1,4,,,SHALLOW,RHS,213
C,GOV1,1,4,,,SHALLOW,RLL,213
C,GOV1,1,4,,,SHALLOW,RLS,213
C,GOV1,1,4,,,SLAB,CHW,214
C,GOV1,1,4,,,SLAB,CMV,214
C,GOV1,1,4,,,SLAB,CST,213
C,GOV1,1,4,,,SLAB,RHL,213
C,GOV1,1,4,,,SLAB,RHS,213
C,GOV1,1,4,,,SLAB,RLL,213
C,GOV1,1,4,,,SLAB,RLS,213
C,GOV1,5,40,,,BASEMENT,CHW,217
C,GOV1,5,40,,,BASEMENT,CMV,217
C,GOV1,5,40,,,BASEMENT,CST,217
C,GOV1,5,40,,,BASEMENT,RHL,217
C,GOV1,5,40,,,BASEMENT,RHS,217
C,GOV1,5,40,,,BASEMENT,RLL,217
C,GOV1,5,40,,,BASEMENT,RLS,217
C,GOV1,5,40,,,PILE,CHW,219
C,GOV1,5,40,,,PILE,CMV,219
C,GOV1,5,40,,,PILE,CST,218
C,GOV1,5,40,,,PILE,RHL,218
C,GOV1,5,40,,,PILE,RHS,218
C,GOV1,5,40,,,PILE,RLL,218
C,GOV1,5,40,,,PILE,RLS,218
C,GOV1,5,40,,,SHALLOW,CHW,219
C,GOV1,5,40,,,SHALLOW,CMV,219
C,GOV1,5,40,,,SHALLOW,CST,218
C,GOV1,5,40,,,SHALLOW,RHL,218
C,GOV1,5,40,,,SHALLOW,RHS,218
C,GOV1,5,40,,,SHALLOW,RLL,218
C,GOV1,5,40,,,SHALLOW,RLS,218
C,GOV1,5,40,,,SLAB,CHW,219
C,GOV1,5,40,,,SLAB,CMV,219
C,GOV1,5,40,,,SLAB,CST,218
C,GOV1,5,40,,,SLAB,RHL,218
C,GOV1,5,40,,,SLAB,RHS,218
C,GOV1,5,40,,,SLAB,RLL,218
C,GOV1,5,40,,,SLAB,RLS,218
C,GOV2,1,4,,,BASEMENT,CHW,214
C,GOV2,1,4,,,BASEMENT,CMV,214
C,GOV2,1,4,,,BASEMENT,CST,213
C,GOV2,1,4,,,BASEMENT,RHL,213
C,GOV2,1,4,,,BASEMENT,RHS,213
C,GOV2,1,4,,,BASEMENT,RLL,213
C,GOV2,1,4,,,BASEMENT,RLS,213
C,GOV2,1,4,,,PILE,CHW,214
C,GOV2,1,4,,,PILE,CMV,213
C,GOV2,1,4,,,PILE,CST,213
C,GOV2,1,4,,,PILE,RHL,213
C,GOV2,1,4,,,PILE,RHS,213
C,GOV2,1,4,,,PILE,RLL,213
C,GOV2,1,4,,,PILE,RLS,213
C,GOV2,1,4,,,SHALLOW,CHW,214
C,GOV2,1,4,,,SHALLOW,CMV,214
C,GOV2,1,4,,,SHALLOW,CST,213
C,GOV2,1,4,,,SHALLOW,RHL,213
C,GOV2,1,4,,,SHALLOW,RHS,213
C,GOV2,1,4,,,SHALLOW,RLL,213
C,GOV2,1,4,,,SHALLOW,RLS,213
C,GOV2,1,4,,,SLAB,CHW,214
C,GOV2,1,4,,,SLAB,CMV,214
C,GOV2,1,4,,,SLAB,CST,213
C,GOV2,1,4,,,SLAB,RHL,213
C,GOV2,1,4,,,SLAB,RHS,213
C,GOV2,1,4,,,SLAB,RLL,213
C,GOV2,1,4,,,SLAB,RLS,213
C,GOV2,5,40,,,BASEMENT,CHW,217
C,GOV2,5,40,,,BASEMENT,CMV,217
C,GOV2,5,40,,,BASEMENT,CST,217
C,GOV2,5,40,,,BASEMENT,RHL,217
C,GOV2,5,40,,,BASEMENT,RHS,217
C,GOV2,5,40,,,BASEMENT,RLL,217
C,GOV2,5,40,,,BASEMENT,RLS,217
C,GOV2,5,40,,,PILE,CHW,219
C,GOV2,5,40,,,PILE,CMV,219
C,GOV2,5,40,,,PILE,CST,218
C,GOV2,5,40,,,PILE,RHL,218
C,GOV2,5,40,,,PILE,RHS,218
C,GOV2,5,40,,,PILE,RLL,218
C,GOV2,5,40,,,PILE,RLS,218
C,GOV2,5,40,,,SHALLOW,CHW,219
C,GOV2,5,40,,,SHALLOW,CMV,219
C,GOV2,5,40,,,SHALLOW,CST,218
C,GOV2,5,40,,,SHALLOW,RHL,218
C,GOV2,5,40,,,SHALLOW,RHS,218
C,GOV2,5,40,,,SHALLOW,RLL,218
C,GOV2,5,40,,,SHALLOW,RLS,218
C,GOV2,5,40,,,SLAB,CHW,219
C,GOV2,5,40,,,SLAB,CMV,219
C,GOV2,5,40,,,SLAB,CST,218
C,GOV2,5,40,,,SLAB,RHL,218
C,GOV2,5,40,,,SLAB,RHS,218
C,GOV2,5,40,,,SLAB,RLL,218
C,GOV2,5,40,,,SLAB,RLS,218
C,IND1,1,4,,,BASEMENT,CHW,214
C,IND1,1,4,,,BASEMENT,CMV,214
C,IND1,1,4,,,BASEMENT,CST,213
C,IND1,1,4,,,BASEMENT,RHL,213
C,IND1,1,4,,,BASEMENT,RHS,213
C,IND1,1,4,,,BASEMENT,RLL,213
C,IND1,1,4,,,BASEMENT,RLS,213
C,IND1,1,4,,,PILE,CHW,214
C,IND1,1,4,,,PILE,CMV,213
C,IND1,1,4,,,PILE,CST,213
C,IND1,1,4,,,PILE,RHL,213
C,IND1,1,4,,,PILE,RHS,213
C,IND1,1,4,,,PILE,RLL,213
C,IND1,1,4,,,PILE,RLS,213
C,IND1,1,4,,,SHALLOW,CHW,214
C,IND1,1,4,,,SHALLOW,CMV,214
C,IND1,1,4,,,SHALLOW,CST,213
C,IND1,1,4,,,SHALLOW,RHL,213
C,IND1,1,4,,,SHALLOW,RHS,213
C,IND1,1,4,,,SHALLOW,RLL,213
C,IND1,1,4,,,SHALLOW,RLS,213
C,IND1,1,4,,,SLAB,CHW,214
C,IND1,1,4,,,SLAB,CMV,214
C,IND1,1,4,,,SLAB,CST,213
C,IND1,1,4,,,SLAB,RHL,213
C,IND1,1,4,,,SLAB,RHS,213
C,IND1,1,4,,,SLAB,RLL,213
C,IND1,1,4,,,SLAB,RLS,213
C,IND1,5,40,,,BASEMENT,CHW,217
C,IND1,5,40,,,BASEMENT,CMV,217
C,IND1,5,40,,,BASEMENT,CST,217
C,IND1,5,40,,,BASEMENT,RHL,217
C,IND1,5,40,,,BASEMENT,RHS,217
C,IND1,5,40,,,BASEMENT,RLL,217
C,IND1,5,40,,,BASEMENT,RLS,217
C,IND1,5,40,,,PILE,CHW,219
C,IND1,5,40,,,PILE,CMV,219
C,IND1,5,40,,,PILE,CST,218
C,IND1,5,40,,,PILE,RHL,218
C,IND1,5,40,,,PILE,RHS,218
C,IND1,5,40,,,PILE,RLL,218
C,IND1,5,40,,,PILE,RLS,218
C,IND1,5,40,,,SHALLOW,CHW,219
C,IND1,5,40,,,SHALLOW,CMV,219
C,IND1,5,40,,,SHALLOW,CST,218
C,IND1,5,40,,,SHALLOW,RHL,218
C,IND1,5,40,,,SHALLOW,RHS,218
C,IND1,5,40,,,SHALLOW,RLL,218
C,IND1,5,40,,,SHALLOW,RLS,218
C,IND1,5,40,,,SLAB,CHW,219
C,IND1,5,40,,,SLAB,CMV,219
C,IND1,5,40,,,SLAB,CST,218
C,IND1,5,40,,,SLAB,RHL,218
C,IND1,5,40,,,SLAB,RHS,218
C,IND1,5,40,,,SLAB,RLL,218
C,IND1,5,40,,,SLAB,RLS,218
C,IND2,1,4,,,BASEMENT,CHW,214
C,IND2,1,4,,,BASEMENT,CMV,214
C,IND2,1,4,,,BASEMENT,CST,213
C,IND2,1,4,,,BASEMENT,RHL,213
C,IND2,1,4,,,BASEMENT,RHS,213
C,IND2,1,4,,,BASEMENT,RLL,213
C,IND2,1,4,,,BASEMENT,RLS,213
C,IND2,1,4,,,PILE,CHW,214
C,IND2,1,4,,,PILE,CMV,213
C,IND2,1,4,,,PILE,CST,213
C,IND2,1,4,,,PILE,RHL,213
C,IND2,1,4,,,PILE,RHS,213
C,IND2,1,4,,,PILE,RLL,213
C,IND2,1,4,,,PILE,RLS,213
C,IND2,1,4,,,SHALLOW,CHW,214
C,IND2,1,4,,,SHALLOW,CMV,214
C,IND2,1,4,,,SHALLOW,CST,213
C,IND2,1,4,,,SHALLOW,RHL,213
C,IND2,1,4,,,SHALLOW,RHS,213
C,IND2,1,4,,,SHALLOW,RLL,213
C,IND2,1,4,,,SHALLOW,RLS,213
C,IND2,1,4,,,SLAB,CHW,214
C,IND2,1,4,,,SLAB,CMV,214
C,IND2,1,4,,,SLAB,CST,213
C,IND2,1,4,,,SLAB,RHL,213
C,IND2,1,4,,,SLAB,RHS,213
C,IND2,1,4,,,SLAB,RLL,213
C,IND2,1,4,,,SLAB,RLS,213
C,IND2,5,40,,,BASEMENT,CHW,217
C,IND2,5,40,,,BASEMENT,CMV,217
C,IND2,5,40,,,BASEMENT,CST,217
C,IND2,5,40,,,BASEMENT,RHL,217
C,IND2,5,40,,,BASEMENT,RHS,217
C,IND2,5,40,,,BASEMENT,RLL,217
C,IND2,5,40,,,BASEMENT,RLS,217
C,IND2,5,40,,,PILE,CHW,219
C,IND2,5,40,,,PILE,CMV,219
C,IND2,5,40,,,PILE,CST,218
C,IND2,5,40,,,PILE,RHL,218
C,IND2,5,40,,,PILE,RHS,218
C,IND2,5,40,,,PILE,RLL,218
C,IND2,5,40,,,PILE,RLS,218
C,IND2,5,40,,,SHALLOW,CHW,219
C,IND2,5,40,,,SHALLOW,CMV,219
C,IND2,5,40,,,SHALLOW,CST,218
C,IND2,5,40,,,SHALLOW,RHL,218
C,IND2,5,40,,,SHALLOW,RHS,218
C,IND2,5,40,,,SHALLOW,RLL,218
C,IND2,5,40,,,SHALLOW,RLS,218
C,IND2,5,40,,,SLAB,CHW,219
C,IND2,5,40,,,SLAB,CMV,219
C,IND2,5,40,,,SLAB,CST,218
C,IND2,5,40,,,SLAB,RHL,218
C,IND2,5,40,,,SLAB,RHS,218
C,IND2,5,40,,,SLAB,RLL,218
C,IND2,5,40,,,SLAB,RLS,218
C,IND3,1,4,,,BASEMENT,CHW,214
C,IND3,1,4,,,BASEMENT,CMV,214
C,IND3,1,4,,,BASEMENT,CST,213
C,IND3,1,4,,,BASEMENT,RHL,213
C,IND3,1,4,,,BASEMENT,RHS,213
C,IND3,1,4,,,BASEMENT,RLL,213
C,IND3,1,4,,,BASEMENT,RLS,213
C,IND3,1,4,,,PILE,CHW,214
C,IND3,1,4,,,PILE,CMV,213
C,IND3,1,4,,,PILE,CST,213
C,IND3,1,4,,,PILE,RHL,213
C,IND3,1,4,,,PILE,RHS,213
C,IND3,1,4,,,PILE,RLL,213
C,IND3,1,4,,,PILE,RLS,213
C,IND3,1,4,,,SHALLOW,CHW,214
C,IND3,1,4,,,SHALLOW,CMV,214
C,IND3,1,4,,,SHALLOW,CST,213
C,IND3,1,4,,,SHALLOW,RHL,213
C,IND3,1,4,,,SHALLOW,RHS,213
C,IND3,1,4,,,SHALLOW,RLL,213
C,IND3,1,4,,,SHALLOW,RLS,213
C,IND3,1,4,,,SLAB,CHW,214
C,IND3,1,4,,,SLAB,CMV,214
C,IND3,1,4,,,SLAB,CST,213
C,IND3,1,4,,,SLAB,RHL,213
C,IND3,1,4,,,SLAB,RHS,213
C,IND3,1,4,,,SLAB,RLL,213
C,IND3,1,4,,,SLAB,RLS,213
C,IND3,5,40,,,BASEMENT,CHW,217
C,IND3,5,40,,,BASEMENT,CMV,217
C,IND3,5,40,,,BASEMENT,CST,217
C,IND3,5,40,,,BASEMENT,RHL,217
C,IND3,5,40,,,BASEMENT,RHS,217
C,IND3,5,40,,,BASEMENT,RLL,217
C,IND3,5,40,,,BASEMENT,RLS,217
C,IND3,5,40,,,PILE,CHW,219
C,IND3,5,40,,,PILE,CMV,219
C,IND3,5,40,,,PILE,CST,218
C,IND3,5,40,,,PILE,RHL,218
C,IND3,5,40,,,PILE,RHS,218
C,IND3,5,40,,,PILE,RLL,218
C,IND3,5,40,,,PILE,RLS,218
C,IND3,5,40,,,SHALLOW,CHW,219
C,IND3,5,40,,,SHALLOW,CMV,219
C,IND3,5,40,,,SHALLOW,CST,218
C,IND3,5,40,,,SHALLOW,RHL,218
C,IND3,5,40,,,SHALLOW,RHS,218
C,IND3,5,40,,,SHALLOW,RLL,218
C,IND3,5,40,,,SHALLOW,RLS,218
C,IND3,5,40,,,SLAB,CHW,219
C,IND3,5,40,,,SLAB,CMV,219
C,IND3,5,40,,,SLAB,CST,218
C,IND3,5,40,,,SLAB,RHL,218
C,IND3,5,40,,,SLAB,RHS,218
C,IND3,5,40,,,SLAB,RLL,218
C,IND3,5,40,,,SLAB,RLS,218
C,IND4,1,4,,,BASEMENT,CHW,214
C,IND4,1,4,,,BASEMENT,CMV,214
C,IND4,1,4,,,BASEMENT,CST,213
C,IND4,1,4,,,BASEMENT,RHL,213
C,IND4,1,4,,,BASEMENT,RHS,213
C,IND4,1,4,,,BASEMENT,RLL,213
C,IND4,1,4,,,BASEMENT,RLS,213
C,IND4,1,4,,,PILE,CHW,214
C,IND4,1,4,,,PILE,CMV,213
C,IND4,1,4,,,PILE,CST,213
C,IND4,1,4,,,PILE,RHL,213
C,IND4,1,4,,,PILE,RHS,213
C,IND4,1,4,,,PILE,RLL,213
C,IND4,1,4,,,PILE,RLS,213
C,IND4,1,4,,,SHALLOW,CHW,214
C,IND4,1,4,,,SHALLOW,CMV,214
C,IND4,1,4,,,SHALLOW,CST,213
C,IND4,1,4,,,SHALLOW,RHL,213
C,IND4,1,4,,,SHALLOW,RHS,213
C,IND4,1,4,,,SHALLOW,RLL,213
C,IND4,1,4,,,SHALLOW,RLS,213
C,IND4,1,4,,,SLAB,CHW,214
C,IND4,1,4,,,SLAB,CMV,214
C,IND4,1,4,,,SLAB,CST,213
C,IND4,1,4,,,SLAB,RHL,213
C,IND4,1,4,,,SLAB,RHS,213
C,IND4,1,4,,,SLAB,RLL,213
C,IND4,1,4,,,SLAB,RLS,213
C,IND4,5,40,,,BASEMENT,CHW,217
C,IND4,5,40,,,BASEMENT,CMV,217
C,IND4,5,40,,,BASEMENT,CST,217
C,IND4,5,40,,,BASEMENT,RHL,217
C,IND4,5,40,,,BASEMENT,RHS,217
C,IND4,5,40,,,BASEMENT,RLL,217
C,IND4,5,40,,,BASEMENT,RLS,217
C,IND4,5,40,,,PILE,CHW,219
C,IND4,5,40,,,PILE,CMV,219
C,IND4,5,40,,,PILE,CST,218
C,IND4,5,40,,,PILE,RHL,218
C,IND4,5,40,,,PILE,RHS,218
C,IND4,5,40,,,PILE,RLL,218
C,IND4,5,40,,,PILE,RLS,218
C,IND4,5,40,,,SHALLOW,CHW,219
C,IND4,5,40,,,SHALLOW,CMV,219
C,IND4,5,40,,,SHALLOW,CST,218
C,IND4,5,40,,,SHALLOW,RHL,218
C,IND4,5,40,,,SHALLOW,RHS,218
C,IND4,5,40,,,SHALLOW,RLL,218
C,IND4,5,40,,,SHALLOW,RLS,218
C,IND4,5,40,,,SLAB,CHW,219
C,IND4,5,40,,,SLAB,CMV,219
C,IND4,5,40,,,SLAB,CST,218
C,IND4,5,40,,,SLAB,RHL,218
C,IND4,5,40,,,SLAB,RHS,218
C,IND4,5,40,,,SLAB,RLL,218
C,IND4,5,40,,,SLAB,RLS,218
C,IND5,1,4,,,BASEMENT,CHW,214
C,IND5,1,4,,,BASEMENT,CMV,214
C,IND5,1,4,,,BASEMENT,CST,213
C,IND5,1,4,,,BASEMENT,RHL,213
C,IND5,1,4,,,BASEMENT,RHS,213
C,IND5,1,4,,,BASEMENT,RLL,213
C,IND5,1,4,,,BASEMENT,RLS,213
C,IND5,1,4,,,PILE,CHW,214
C,IND5,1,4,,,PILE,CMV,213
C,IND5,1,4,,,PILE,CST,213
C,IND5,1,4,,,PILE,RHL,213
C,IND5,1,4,,,PILE,RHS,213
C,IND5,1,4,,,PILE,RLL,213
C,IND5,1,4,,,PILE,RLS,213
C,IND5,1,4,,,SHALLOW,CHW,214
C,IND5,1,4,,,SHALLOW,CMV,214
C,IND5,1,4,,,SHALLOW,CST,213
C,IND5,1,4,,,SHALLOW,RHL,213
C,IND5,1,4,,,SHALLOW,RHS,213
C,IND5,1,4,,,SHALLOW,RLL,213
C,IND5,1,4,,,SHALLOW,RLS,213
C,IND5,1,4,,,SLAB,CHW,214
C,IND5,1,4,,,SLAB,CMV,214
C,IND5,1,4,,,SLAB,CST,213
C,IND5,1,4,,,SLAB,RHL,213
C,IND5,1,4,,,SLAB,RHS,213
C,IND5,1,4,,,SLAB,RLL,213
C,IND5,1,4,,,SLAB,RLS,213
C,IND5,5,40,,,BASEMENT,CHW,217
C,IND5,5,40,,,BASEMENT,CMV,217
C,IND5,5,40,,,BASEMENT,CST,217
C,IND5,5,40,,,BASEMENT,RHL,217
C,IND5,5,40,,,BASEMENT,RHS,217
C,IND5,5,40,,,BASEMENT,RLL,217
C,IND5,5,40,,,BASEMENT,RLS,217
C,IND5,5,40,,,PILE,CHW,219
C,IND5,5,40,,,PILE,CMV,219
C,IND5,5,40,,,PILE,CST,218
C,IND5,5,40,,,PILE,RHL,218
C,IND5,5,40,,,PILE,RHS,218
C,IND5,5,40,,,PILE,RLL,218
C,IND5,5,40,,,PILE,RLS,218
C,IND5,5,40,,,SHALLOW,CHW,219
C,IND5,5,40,,,SHALLOW,CMV,219
C,IND5,5,40,,,SHALLOW,CST,218
C,IND5,5,40,,,SHALLOW,RHL,218
C,IND5,5,40,,,SHALLOW,RHS,218
C,IND5,5,40,,,SHALLOW,RLL,218
C,IND5,5,40,,,SHALLOW,RLS,218
C,IND5,5,40,,,SLAB,CHW,219
C,IND5,5,40,,,SLAB,CMV,219
C,IND5,5,40,,,SLAB,CST,218
C,IND5,5,40,,,SLAB,RHL,218
C,IND5,5,40,,,SLAB,RHS,218
C,IND5,5,40,,,SLAB,RLL,218
C,IND5,5,40,,,SLAB,RLS,218
C,IND6,1,4,,,BASEMENT,CHW,214
C,IND6,1,4,,,BASEMENT,CMV,214
C,IND6,1,4,,,BASEMENT,CST,213
C,IND6,1,4,,,BASEMENT,RHL,213
C,IND6,1,4,,,BASEMENT,RHS,213
C,IND6,1,4,,,BASEMENT,RLL,213
C,IND6,1,4,,,BASEMENT,RLS,213
C,IND6,1,4,,,PILE,CHW,214
C,IND6,1,4,,,PILE,CMV,213
C,IND6,1,4,,,PILE,CST,213
C,IND6,1,4,,,PILE,RHL,213
C,IND6,1,4,,,PILE,RHS,213
C,IND6,1,4,,,PILE,RLL,213
C,IND6,1,4,,,PILE,RLS,213
C,IND6,1,4,,,SHALLOW,CHW,214
C,IND6,1,4,,,SHALLOW,CMV,214
C,IND6,1,4,,,SHALLOW,CST,213
C,IND6,1,4,,,SHALLOW,RHL,213
C,IND6,1,4,,,SHALLOW,RHS,213
C,IND6,1,4,,,SHALLOW,RLL,213
C,IND6,1,4,,,SHALLOW,RLS,213
C,IND6,1,4,,,SLAB,CHW,214
C,IND6,1,4,,,SLAB,CMV,214
C,IND6,1,4,,,SLAB,CST,213
C,IND6,1,4,,,SLAB,RHL,213
C,IND6,1,4,,,SLAB,RHS,213
C,IND6,1,4,,,SLAB,RLL,213
C,IND6,1,4,,,SLAB,RLS,213
C,IND6,5,40,,,BASEMENT,CHW,217
C,IND6,5,40,,,BASEMENT,CMV,217
C,IND6,5,40,,,BASEMENT,CST,217
C,IND6,5,40,,,BASEMENT,RHL,217
C,IND6,5,40,,,BASEMENT,RHS,217
C,IND6,5,40,,,BASEMENT,RLL,217
C,IND6,5,40,,,BASEMENT,RLS,217
C,IND6,5,40,,,PILE,CHW,219
C,IND6,5,40,,,PILE,CMV,219
C,IND6,5,40,,,PILE,CST,218
C,IND6,5,40,,,PILE,RHL,218
C,IND6,5,40,,,PILE,RHS,218
C,IND6,5,40,,,PILE,RLL,218
C,IND6,5,40,,,PILE,RLS,218
C,IND6,5,40,,,SHALLOW,CHW,219
C,IND6,5,40,,,SHALLOW,CMV,219
C,IND6,5,40,,,SHALLOW,CST,218
C,IND6,5,40,,,SHALLOW,RHL,218
C,IND6,5,40,,,SHALLOW,RHS,218
C,IND6,5,40,,,SHALLOW,RLL,218
C,IND6,5,40,,,SHALLOW,RLS,218
